SMILES,fragment_HIPPO_IDs,fragment_method,fragment_export_date,fragment_author,fragment_inspiration_names,fragment_inspiration_SMILES,fragment_supplier,fragment_supplier_catalogue,fragment_supplier_ID,fragment_supplier_price,fragment_supplier_lead_time
N#CCC(=O)Nc1ccc(C(N)=O)nc1,"compound=110350, pose=210451",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0556a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1cc(N)c(C(=O)NC2CCC2)n1,Enamine,sRDB,Z1688566756,140.0,20
CC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1,"compound=110351, pose=210452",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0365a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1ccc(NCc2ccccc2)n1,Enamine,sRDB,Z1651001276,140.0,20
COc1cccc(CNc2ccc(NC(C)=O)cn2)c1,"compound=110352, pose=210453",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0365a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1ccc(NCc2ccccc2)n1,Enamine,sRDB,Z1661893031,140.0,20
CC(=O)Nc1ccc(NCc2ccc(C)cc2F)nc1,"compound=110353, pose=210454",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0365a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1ccc(NCc2ccccc2)n1,Enamine,sRDB,Z9165548473,140.0,20
CC(=O)Nc1ccc(NCc2cccc(C(C)C)c2)nc1,"compound=110354, pose=210455",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0365a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1ccc(NCc2ccccc2)n1,Enamine,sRDB,Z2609947594,140.0,20
CC(=O)Nc1ccc(NCc2cc(F)ccc2C)nc1,"compound=110356, pose=210457",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0365a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1ccc(NCc2ccccc2)n1,Enamine,sRDB,Z1661892339,140.0,20
CC(=O)Nc1ccc(NCc2ccccc2C2CC2)nc1,"compound=110357, pose=210458",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0365a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1ccc(NCc2ccccc2)n1,Enamine,sRDB,Z1653828162,140.0,20
CC(=O)Nc1ccc(NCc2c(C)cccc2F)nc1,"compound=110358, pose=210459",Knitwork,2024-06-12,Steph Wills,"Ax0310a,Ax0365a",Cc1nn(C)c(C)c1NC(=O)CC#N.Cn1ccc(NCc2ccccc2)n1,Enamine,sRDB,Z9165548474,140.0,20
Cn1ccc2ccc(NCc3ccccc3)cc21,"compound=110359, pose=210460",Knitwork,2024-06-12,Steph Wills,"Ax0365a,Ax0451a",Cn1ccc(NCc2ccccc2)n1.CNC(=O)c1cn(C)c2ccccc12,Enamine,sRDB,Z1796918589,140.0,20
Cc1ccc(CNc2ccc(N3CCNC(=O)C3)cn2)cc1C,"compound=110360, pose=210461",Knitwork,2024-06-12,Steph Wills,"Ax0365a,Ax0528a",Cn1ccc(NCc2ccccc2)n1.CN1CC[C@@H](Oc2cccc(F)c2)C1=O,Enamine,sRDB,Z1950834336,140.0,20
O=C1NCCC1C(=O)N1CCCC(NCc2ccccc2)C1,"compound=110361, pose=210462",Knitwork,2024-06-12,Steph Wills,"Ax0365a,Ax0528a",Cn1ccc(NCc2ccccc2)n1.CN1CC[C@@H](Oc2cccc(F)c2)C1=O,Enamine,sRDB,Z2659041027,140.0,20
O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)cc1,"compound=110362, pose=210463",Knitwork,2024-06-12,Steph Wills,"Ax0365a,Ax0528a",Cn1ccc(NCc2ccccc2)n1.CN1CC[C@@H](Oc2cccc(F)c2)C1=O,Enamine,sRDB,Z445580108,140.0,20
O=C1NCCN1c1ccc(NCc2cccc(F)c2)cc1,"compound=110363, pose=210464",Knitwork,2024-06-12,Steph Wills,"Ax0365a,Ax0528a",Cn1ccc(NCc2ccccc2)n1.CN1CC[C@@H](Oc2cccc(F)c2)C1=O,Enamine,sRDB,Z445579990,140.0,20
CSc1cccc(CNc2ccc(N3CCNC(=O)C3)cn2)c1,"compound=110364, pose=210465",Knitwork,2024-06-12,Steph Wills,"Ax0365a,Ax0528a",Cn1ccc(NCc2ccccc2)n1.CN1CC[C@@H](Oc2cccc(F)c2)C1=O,Enamine,sRDB,Z3293333923,140.0,20
Cn1nc(C2CCOCC2)cc1C(=O)OCC1CNC(=O)C1,"compound=110365, pose=210466",Knitwork,2024-06-12,Steph Wills,"Ax0365a,Ax0528a",Cn1ccc(NCc2ccccc2)n1.CN1CC[C@@H](Oc2cccc(F)c2)C1=O,Enamine,mRDB,Z3155821939,210.0,20
