Code,Long code,Compound code,Smiles,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Series] Taggy McTagface
A71x0450a,A71EV2A-x0450_A_201_A71EV2A-x0528+A+147+1,Z100642432,CN(C)C(=O)c1ccc(F)cc1Br,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0451a,A71EV2A-x0451_A_201_A71EV2A-x0528+A+147+1,Z100643660,CNC(=O)c1cn(C)c2ccccc12,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0451b,A71EV2A-x0451_A_147_A71EV2A-x0451+A+147+1,Z100643660,CNC(=O)c1cn(C)c2ccccc12,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0469a,A71EV2A-x0469_A_147_A71EV2A-x0469+A+147+1,Z104924088,CC(C)N1CCN(c2ncccn2)CC1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,True
A71x0473a,A71EV2A-x0473_A_147_A71EV2A-x0528+A+147+1,Z1082839290,O=S(=O)(NC1CCCC1)C1CCOCC1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0486a,A71EV2A-x0486_A_147_A71EV2A-x0486+A+147+1,Z1148165337,CN(C)C(=O)Cn1ncc2ccccc21,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0488a,A71EV2A-x0488_A_147_A71EV2A-x0488+A+147+1,Z1154747269,O=c1ccncn1CCO,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0497a,A71EV2A-x0497_A_147_A71EV2A-x0395+A+148+1,Z1198158918,N#Cc1n[nH]c2ccccc12,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0515a,A71EV2A-x0515_A_201_A71EV2A-x0528+A+147+1,Z1201621547,COC(=O)c1ccncc1N,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0515b,A71EV2A-x0515_A_147_A71EV2A-x0395+A+148+1,Z1201621547,COC(=O)c1ccncc1N,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0517a,A71EV2A-x0517_A_147_A71EV2A-x0528+A+201+1,Z1203107138,CCn1cc(C(=O)NCc2ccc(F)cc2)cn1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
