,reaction_id,reaction_type,product_id,reactant_ids,product_smiles,reactant_smiles,product_mol,reactant_mols,reaction_smiles,participating_compounds
1972,1973,Amidation,2163,"{2162, 85}",CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b180>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af220>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0af270>}",O=C(O)C1CCCO1.CC(C)(C)OC(=O)Nc1cccc(N)c1>>CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}"
1973,1974,N-Boc_deprotection,2164,{2163},Nc1cccc(NC(=O)C2CCCO2)c1,{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b1d0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af2c0>},CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1>>Nc1cccc(NC(=O)C2CCCO2)c1,"{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', 'Nc1cccc(NC(=O)C2CCCO2)c1'}"
1974,1975,Amidation,2165,"{89, 2164}",N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'N#CCC(=O)O', 'Nc1cccc(NC(=O)C2CCCO2)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b220>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af310>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0af360>}",N#CCC(=O)O.Nc1cccc(NC(=O)C2CCCO2)c1>>N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"{'N#CCC(=O)O', 'N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', 'Nc1cccc(NC(=O)C2CCCO2)c1'}"
1986,1987,Amidation,2181,"{2180, 85}",CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cc(N)ccc1F'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b5e0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0af9a0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0af9f0>}",O=C(O)C1CCCO1.CC(C)(C)OC(=O)Nc1cc(N)ccc1F>>CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'O=C(O)C1CCCO1', 'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', 'CC(C)(C)OC(=O)Nc1cc(N)ccc1F'}"
1987,1988,N-Boc_deprotection,2182,{2181},Nc1cc(NC(=O)C2CCCO2)ccc1F,{'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b630>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afa40>},CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F>>Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}"
1988,1989,Amidation,2183,"{89, 2182}",N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'N#CCC(=O)O', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b680>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afa90>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0afae0>}",N#CCC(=O)O.Nc1cc(NC(=O)C2CCCO2)ccc1F>>N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"{'N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', 'N#CCC(=O)O', 'Nc1cc(NC(=O)C2CCCO2)ccc1F'}"
1989,1990,Amidation,2184,"{2162, 95}",CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'O=C1CCC(C(=O)O)O1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b6d0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afb80>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0afb30>}",O=C1CCC(C(=O)O)O1.CC(C)(C)OC(=O)Nc1cccc(N)c1>>CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'O=C1CCC(C(=O)O)O1', 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1'}"
1990,1991,N-Boc_deprotection,2185,{2184},Nc1cccc(NC(=O)C2CCC(=O)O2)c1,{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b720>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afbd0>},CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1>>Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1'}"
1991,1992,Amidation,2186,"{89, 2185}",N#CCC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'N#CCC(=O)O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788b770>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0afc20>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0afc70>}",Nc1cccc(NC(=O)C2CCC(=O)O2)c1.N#CCC(=O)O>>N#CCC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1,"{'Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'N#CCC(=O)Nc1cccc(NC(=O)C2CCC(=O)O2)c1', 'N#CCC(=O)O'}"
2004,2005,Amidation,2200,"{2162, 91}",CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1,"{'CC(C)(C)OC(=O)Nc1cccc(N)c1', 'CC1(C(=O)O)CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788bb80>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0b7400>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0b73b0>}",CC(C)(C)OC(=O)Nc1cccc(N)c1.CC1(C(=O)O)CCCO1>>CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1,"{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1', 'CC(C)(C)OC(=O)Nc1cccc(N)c1', 'CC1(C(=O)O)CCCO1'}"
2005,2006,N-Boc_deprotection,2201,{2200},CC1(C(=O)Nc2cccc(N)c2)CCCO1,{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788bbd0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0b7450>},CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1>>CC1(C(=O)Nc2cccc(N)c2)CCCO1,"{'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2(C)CCCO2)c1', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}"
2006,2007,Amidation,2202,"{89, 2201}",CC1(C(=O)Nc2cccc(NC(=O)CC#N)c2)CCCO1,"{'N#CCC(=O)O', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788bc20>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0b74a0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0b74f0>}",N#CCC(=O)O.CC1(C(=O)Nc2cccc(N)c2)CCCO1>>CC1(C(=O)Nc2cccc(NC(=O)CC#N)c2)CCCO1,"{'N#CCC(=O)O', 'CC1(C(=O)Nc2cccc(NC(=O)CC#N)c2)CCCO1', 'CC1(C(=O)Nc2cccc(N)c2)CCCO1'}"
2048,2049,Amidation,2256,"{85, 2255}",Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,"{'O=C(O)C1CCCO1', 'Cc1ccc(N)cc1NC(=O)OC(C)(C)C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788f9a0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcb80>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcb30>}",O=C(O)C1CCCO1.Cc1ccc(N)cc1NC(=O)OC(C)(C)C>>Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,"{'O=C(O)C1CCCO1', 'Cc1ccc(N)cc1NC(=O)OC(C)(C)C', 'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C'}"
2049,2050,N-Boc_deprotection,2257,{2256},Cc1ccc(NC(=O)C2CCCO2)cc1N,{'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788f9f0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcbd0>},Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C>>Cc1ccc(NC(=O)C2CCCO2)cc1N,"{'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}"
2050,2051,Amidation,2258,"{89, 2257}",Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,"{'N#CCC(=O)O', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fa40>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcc20>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcc70>}",N#CCC(=O)O.Cc1ccc(NC(=O)C2CCCO2)cc1N>>Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,"{'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N', 'N#CCC(=O)O', 'Cc1ccc(NC(=O)C2CCCO2)cc1N'}"
2051,2052,Amidation,2260,"{2259, 85}",Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,"{'O=C(O)C1CCCO1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1N'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fa90>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcd10>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bccc0>}",O=C(O)C1CCCO1.Cc1ccc(NC(=O)OC(C)(C)C)cc1N>>Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,"{'O=C(O)C1CCCO1', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1N', 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1'}"
2052,2053,N-Boc_deprotection,2261,{2260},Cc1ccc(N)cc1NC(=O)C1CCCO1,{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1'},<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fae0>,{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcd60>},Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1>>Cc1ccc(N)cc1NC(=O)C1CCCO1,"{'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}"
2053,2054,Amidation,2262,"{89, 2261}",Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,"{'N#CCC(=O)O', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f2788fb30>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eec0bce00>, <rdkit.Chem.rdchem.Mol object at 0x7f6eec0bcdb0>}",N#CCC(=O)O.Cc1ccc(N)cc1NC(=O)C1CCCO1>>Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,"{'Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1', 'N#CCC(=O)O', 'Cc1ccc(N)cc1NC(=O)C1CCCO1'}"
